Agra,The Oberoi Amarvilas Agra,30000,1 kilometer from Taj Mahal
Agra,ITC Mughal Agra,12000,2 kilometers from Taj Mahal
Agra,Taj Agra,8000,Central location
Jaipur,Rambagh Palace,18000,Central location
Jaipur,The Leela Palace Jaipur,15000,2 kilometers from City Palace
Jaipur,Jaipur Marriott Hotel,7200,Central location
Goa (North Goa),Taj Fort Aguada Resort & Spa,10500,Beachfront location-Candolim Beach
Goa (North Goa),The Zuri White Sands,8800,Beachfront location-Candolim Beach
Goa (North Goa),Novotel Goa Dona Sylvia Resort,6200,Beachfront location-Candolim Beach
Goa (South Goa),The Leela Goa,14000,Beachfront location-Mobor Beach
Goa (South Goa),Taj Exotica Resort & Spa,9500,Beachfront location-Benaulim Beach
Goa (South Goa),Alila Diwa Goa,8200,Beachfront location-Majorda Beach
Delhi,The Imperial New Delhi,16000,Central location
Delhi,Taj Mahal Delhi,12000,Central location
Delhi,The Leela Palace New Delhi,18000,Diplomatic Enclave
Mumbai,The Taj Mahal Palace Mumbai,22000,Colaba Causeway
Mumbai,Four Seasons Hotel Mumbai,18000,Worli
Mumbai,The St. Regis Mumbai,20000,Lower Parel
Kolkata,The Oberoi Kolkata,14000,Central location
Kolkata,Taj Bengal Kolkata,10000,Central location
Kolkata,ITC Sonar Kolkata,9200,2 kilometers from Maidan
Varanasi,Taj Ganges Varanasi,11000,On the banks of the Ganges
Varanasi,The Gateway Hotel Ganges Varanasi,7800,On the banks of the Ganges
Varanasi,Palace on Ganges,5500,On the banks of the Ganges
Chennai,The Leela Chennai,13000,Along the Marina Beach
Chennai,ITC Grand Chennai,10000,Central location
Chennai,Taj Coromandel,9500,Along the Marina Beach
Hyderabad,Taj Krishna,14000,Central location
Hyderabad,ITC Kohi Noor Hyderabad,11000,2 kilometers from Hussain Sagar Lake
Hyderabad,The Park Hyderabad,8500,Central location
Bangalore,The Ritz-Carlton,15000,Central location
Bangalore,Taj West End,12000,3 kilometers from Vidhana Soudha
Bangalore,JW Marriott Hotel Bengaluru,10000,Central location
Ahmedabad,Taj Mahal Ahmedabad,9800,Central location
Ahmedabad,The House of MG,7200,2 kilometers from Sabarmati Ashram
Ahmedabad,Hyatt Ahmedabad,8000,Central location
Lucknow,Hotel Casa Aishbagh,2455,Central location
Lucknow,The Maple Leaf,2461,Central location
Lucknow,The Elite Lucknow Convention Hotel,2883,2 kilometers
Mysore,Radisson Blu Plaza Mysore,5200,Central location
Mysore,Lalitha Mahal Palace Hotel,8000,2 kilometers
Mysore,Aaram Baaib Palace,3900,3 kilometers
Amritsar,Courtyard by Marriott Amritsar,6154,3 kilometers
Amritsar,Hotel Grand Fortune,1332,5 kilometers
Amritsar,Holiday Inn Amritsar Ranjit Avenue,6047,Central location
Guwahati,The Guwahati Address,6411,Central location
Guwahati,The Contour Hotel,2520,2 kilometers
Guwahati,The Ornate,3591,Central location
Darjeeling,The Heritage Darjeeling,1551,Central location
Darjeeling,Hotel Shangri-La Regency,1924,1 kilometer
Darjeeling,The Golden Leaf Darjeeling,2150,Central location
Ooty,Sterling Ooty Lakeview Hotel,4200,Central location
Ooty,Savoy - A Boutique Hotel,3800,2 kilometers
Ooty,Raj Mahal Hotel,2900,3 kilometers
Kovalam,Vivanta Thiruvananthapuram,5600,Beachfront location
Kovalam,The Leela Kovalam,12000,Beachfront location
Kovalam,Taj Kovalam,8500,Beachfront location
Udaipur,The Oberoi Udaivilas,25000,4 kilometers
Udaipur,Trident Udaipur,9000,2 kilometers
Udaipur,Shiv Niwas Palace Hotel,6500,Central location
